id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
CPI-CS085E95BC1,IL1 receptor inhibitor,P18510,,IL1RA_HUMAN,curated,low affinity
CPI-CS085EF890A,ACVR_1B2B receptor,P09529,,INHBB_HUMAN,curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
CPI-CS0860DA460,ACVR_1A2B receptor,Q7Z5Y6,,BMP8A_HUMAN,curated,PMID: 22710174
CPI-CS089A36491,BMR1B_AVR2B,P43026,,GDF5_HUMAN,curated,PMID: 22710174
CPI-CS08A043594,BMR1B_AVR2A,P12643,,BMP2_HUMAN,curated,PMID: 22710174
CPI-CS08A853007,BMR1B_AVR2B,P18075,,BMP7_HUMAN,curated,PMID: 22710174
CPI-CS08CC8F9D3,ACVR1_BMPR2,P18075,,BMP7_HUMAN,curated,PMID: 22710174
CPI-CS08F4E5D70,NKG2D II receptor,Q5VY80,,RET1L_HUMAN,curated,"Induces NK Cell Activation. Reviewed in PMID: 24223577. 4s0u, PDB partially"
CPI-CS090FFEDFE,BMPR1A_BMPR2,Q7Z5Y6,,BMP8A_HUMAN,curated,PMID: 22710174
CPI-CS091BF99D0,ACVR_1A2A receptor,P08476,,INHBA_HUMAN,curated,less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage
CPI-CS0921BB754,BMR1B_AVR2A,P22004,,BMP6_HUMAN,curated,PMID: 22710174
CPI-CS0924060DB,ACVR_1C2A receptor,P08476,,INHBA_HUMAN,curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
CPI-CS09831CCFD,IL18 receptor,Q14116,,IL18_HUMAN,curated,"3wo3, PDB partially"
CPI-CS09CECD20D,BMPR1A_BMPR2,P43026,,GDF5_HUMAN,curated,PMID: 22710174
CPI-CS09F211C3E,NKG2D II receptor,Q8TD07,,N2DL4_HUMAN,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577
CPI-CS09F35DDEB,ACVR_1B2A receptor,O14793,,GDF8_HUMAN,curated,PMID: 22710174
CPI-CS0A269FA16,NKG2D II receptor,Q9BZM5,,N2DL2_HUMAN,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577
CPI-CS0A34112A6,IL2 receptor_I,P60568,,IL2_HUMAN,curated,"3qaz, PDB"
CPI-CS0A5400A6A,ACVR_1C2B receptor,P09529,,INHBB_HUMAN,curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
CPI-CS0A659AAAD,IL28 receptor,Q8IZI9,,IFNL3_HUMAN,curated,"5t5w, PDB"
CPI-CS0A66DB1CA,CD8 receptor,P06239,,LCK_HUMAN,curated,"1q69, PDB partially"
CPI-CS0A6AB5149,IL36 receptor,Q9NZH7,,IL36B_HUMAN,curated,uniprot
CPI-CS0A71F2AAD,NKG2D II receptor,Q6H3X3,,RET1G_HUMAN,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577
CPI-CS0A8A0A053,IL22 receptor,Q9GZX6,,IL22_HUMAN,curated,"3dgc, PDB"
CPI-CS0A8F7D89F,BMPR1B_BMPR2,O95972,,BMP15_HUMAN,curated,PMID: 22710174
CPI-CS0A97B38B6,ACVL1_BMPR2,O95393,,BMP10_HUMAN,curated,PMID: 22710174
CPI-CS0A9D23000,NKG2D II receptor,Q29980,,MICB_HUMAN,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577
CPI-CS0AA769F5B,PlexinA3_complex1,Q14563,,SEM3A_HUMAN,curated,PMID: 22325954
CPI-CS0AB19226A,PlexinA4_complex1,Q14563,,SEM3A_HUMAN,curated,PMID: 22325954
CPI-CS0AB365861,IL20 receptor Type I,Q9NYY1,,IL20_HUMAN,curated,uniprot
CPI-CS0AB9C7139,IL7 receptor,P13232,,IL7_HUMAN,curated,"3di2, PDB partially"
CPI-CS0AC5142FA,IL1 receptor inhibitor,P01583,,IL1A_HUMAN,curated,"low affinity, uniprot"
CPI-CS0AED3F8E8,ACVR_1B2B receptor,O14793,,GDF8_HUMAN,curated,PMID: 22710174
CPI-CS0AEE2FB22,ACVR1_BMPR2,Q7Z5Y6,,BMP8A_HUMAN,curated,PMID: 22710174
CPI-CS0B0B35928,CNTF-1R,P26441,,CNTF_HUMAN,curated,uniprot
CPI-CS0B2F2EF5D,ACVR_1B2B receptor,Q9NR23,,GDF3_HUMAN,curated,PMID: 22710174
CPI-CS0B79F5D68,ACVR_1C2B receptor,P08476,,INHBA_HUMAN,curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
CPI-CS0B9A4CA4D,BMPR1A_BMPR2,Q6KF10,,GDF6_HUMAN,curated,PMID: 22710174
CPI-CS0BA342294,IL17 receptor AE,Q9P0M4,,IL17C_HUMAN,curated,uniprot
CPI-CS0BAF97962,PDGFR complex,Q9GZP0,,PDGFD_HUMAN,curated,uniprot
CPI-CS0BCDC40FC,BMR1A_AVR2B,P12644,,BMP4_HUMAN,curated,PMID: 22710174
CPI-CS0BDA0D08C,BMR1B_AVR2A,Q7Z4P5,,GDF7_HUMAN,curated,PMID: 22710174
CPI-CS0BE59B43E,BMR1A_AVR2B,P12643,,BMP2_HUMAN,curated,PMID: 22710174
CPI-CS0BEC40E19,BMR1B_AVR2B,P22003,,BMP5_HUMAN,curated,PMID: 22710174
CPI-CS0C091F24B,BMR1A_ACR2A,Q7Z5Y6,,BMP8A_HUMAN,curated,PMID: 22710174
CPI-CS0C0D60519,BMR1B_AVR2B,P22004,,BMP6_HUMAN,curated,PMID: 22710174
CPI-CS0C159B54D,ACVR_1B2B receptor,P08476,,INHBA_HUMAN,curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
CPI-CS0C16967C6,ACVR1_BMPR2,P22004,,BMP6_HUMAN,curated,PMID: 22710174
CPI-CS0C57A3081,PlexinA1_complex1,Q8NFY4,,SEM6D_HUMAN,curated,PMID: 22325954
CPI-CS0C59AF029,IL33 receptor,O95760,,IL33_HUMAN,curated,uniprot
CPI-CS0C623F17A,BMPR1B_BMPR2,Q6KF10,,GDF6_HUMAN,curated,PMID: 22710174
CPI-CS0C8F1E01F,ACVR_1B2A receptor,P12645,,BMP3_HUMAN,curated,PMID: 22710174
CPI-CS0C99F8D96,BMR1A_AVR2B,P18075,,BMP7_HUMAN,curated,PMID: 22710174
CPI-CS0C9EE65C2,FcRn complex,P02768,,ALBU_HUMAN,curated,"4n0u, PDB & 4k71, PDB"
CPI-CS0CA393CC5,BMR1A_AVR2B,P22003,,BMP5_HUMAN,curated,PMID: 22710174
CPI-CS0CE2A204A,ACVR_1A2A receptor,Q7Z5Y6,,BMP8A_HUMAN,curated,PMID: 22710174
CPI-CS0CF47221A,IL20 receptor Type II,Q13007,,IL24_HUMAN,curated,uniprot
CPI-CS0CFA0E4C5,BMPR1A_BMPR2,Q7Z4P5,,GDF7_HUMAN,curated,PMID: 22710174
CPI-CS0D238C22B,PlexinA2_complex1,Q14563,,SEM3A_HUMAN,curated,PMID: 22325954
CPI-CS0D35E69F6,BMR1A_ACR2A,P18075,,BMP7_HUMAN,curated,PMID: 22710174
CPI-CS0D48BE017,IL2 receptor_HA,P60568,,IL2_HUMAN,curated,"2b5i, PDB"
CPI-CS0D4BB4458,MIS receptor 3,P03971,,MIS_HUMAN,curated,PMID: 22710174
CPI-CS0D9226707,BMR1B_AVR2A,Q6KF10,,GDF6_HUMAN,curated,PMID: 22710174
CPI-CS0D9B5AB86,IL36 receptor,Q9NZH8,,IL36G_HUMAN,curated,uniprot
CPI-CS0DAA66443,BMR1A_ACR2A,P43026,,GDF5_HUMAN,curated,PMID: 22710174
CPI-CS0DDFD82E7,IL11 receptor,P20809,,IL11_HUMAN,curated,uniprot
CPI-CS0DEBE7B69,IL1 receptor,P18510,,IL1RA_HUMAN,curated,"1ira, PDB partially"
CPI-CS0DF85303A,BMR1B_AVR2A,P18075,,BMP7_HUMAN,curated,PMID: 22710174
CPI-CS0E1BF543E,ACVR1_BMPR2,P22003,,BMP5_HUMAN,curated,PMID: 22710174
CPI-CS0E4E75E3B,BMPR1A_BMPR2,P12643,,BMP2_HUMAN,curated,PMID: 22710174
CPI-CS0E5078EDE,BMR1A_AVR2B,Q7Z4P5,,GDF7_HUMAN,curated,PMID: 22710174
CPI-CS0E54FF657,BMPR1A_BMPR2,P12644,,BMP4_HUMAN,curated,PMID: 22710174
CPI-CS0E5D1ECCE,PlexinA1_complex3,Q14563,,SEM3A_HUMAN,curated,PMID: 22325954
CPI-CS0E661878B,LIFR,P13725,,ONCM_HUMAN,curated,uniprot
CPI-CS0E7C1314F,ACVR_1B2B receptor,P27539,,GDF1_HUMAN,curated,PMID: 22710174
CPI-CS0E80B08E2,IL21 receptor,Q9HBE4,,IL21_HUMAN,curated,"3tgx, PDB partially, uniprot"
CPI-CS0E8ADC968,IL20 receptor Type II,Q9NYY1,,IL20_HUMAN,curated,uniprot
CPI-CS0E997FABD,BMR1B_AVR2B,P12644,,BMP4_HUMAN,curated,PMID: 22710174
CPI-CS0EB5F7B6F,CNTF-1R,Q9UBD9,,CLCF1_HUMAN,curated,uniprot
CPI-CS0EC80CA59,ACVR_1A2A receptor,P22003,,BMP5_HUMAN,curated,PMID: 22710174
CPI-CS0EE8AEA34,IL13 receptor,P35225,,IL13_HUMAN,curated,"3bpo, PDB"
CPI-CS0EF793D6A,BMPR1B_BMPR2,P22004,,BMP6_HUMAN,curated,PMID: 22710174
CPI-CS0F6472748,IL36 receptor,Q9UHA7,,IL36A_HUMAN,curated,uniprot
CPI-CS0F670E8BC,MIS receptor 2,P03971,,MIS_HUMAN,curated,PMID: 22710174
CPI-CS0F6CFB979,BMPR1A_BMPR2,P22004,,BMP6_HUMAN,curated,PMID: 22710174
CPI-CS0FB8775FC,IL5 receptor,P05113,,IL5_HUMAN,curated,"3qt2, PDB partially"
CPI-CS0FBBCDD66,IL4 receptor,P05112,,IL4_HUMAN,curated,"3qb7, PDB"
CPI-CS0FCC00896,ACVR_1A2B receptor,P22003,,BMP5_HUMAN,curated,PMID: 22710174
CPI-CS0FFBA02F8,ACVR_1A2A receptor,P22004,,BMP6_HUMAN,curated,PMID: 22710174
CPI-SC00064A9CE,Q9P218,a2b1 complex,COKA1_HUMAN,,curated,uniprot
CPI-SC0014D5A6E,Q07092,a11b1 complex,COGA1_HUMAN,,curated,uniprot
CPI-SC001669E22,O95390,TGFR_AVR2A,GDF11_HUMAN,,curated,PMID: 22710174
CPI-SC0017F527E,P39060,a10b1 complex,COIA1_HUMAN,,curated,uniprot
CPI-SC001AFA16D,Q99748,RET receptor 2,NRTN_HUMAN,,curated,uniprot
CPI-SC0035F0B0F,Q14993,a11b1 complex,COJA1_HUMAN,,curated,uniprot
CPI-SC004A436C5,Q99715,a1b1 complex,COCA1_HUMAN,,curated,uniprot
CPI-SC006E22794,P08123,a1b1 complex,CO1A2_HUMAN,,curated,uniprot
CPI-SC00756BB93,P04216,aVb3 complex,THY1_HUMAN,,curated,"https://www.ncbi.nlm.nih.gov/pubmed/29212879,https://www.ncbi.nlm.nih.gov/pubmed/18346467/,https://www.ncbi.nlm.nih.gov/"
CPI-SC0077CEB82,P10600,TGFbeta receptor2,TGFB3_HUMAN,,curated,uniprot
CPI-SC007890A1C,P12830,aEb7 complex,CADH1_HUMAN,,curated,uniprot
CPI-SC0082A7233,P53420,a11b1 complex,CO4A4_HUMAN,,curated,uniprot
CPI-SC008F4294F,Q02388,a10b1 complex,CO7A1_HUMAN,,curated,uniprot
CPI-SC0092846B0,P20908,a11b1 complex,CO5A1_HUMAN,,curated,uniprot
CPI-SC00A0B0892,A8TX70,a10b1 complex,CO6A5_HUMAN,,curated,uniprot
CPI-SC00ACA947E,P39905,RET receptor 1,GDNF_HUMAN,,curated,uniprot
CPI-SC00BE2EEE3,Q9P218,a1b1 complex,COKA1_HUMAN,,curated,uniprot
CPI-SC00C0800EB,P53420,a10b1 complex,CO4A4_HUMAN,,curated,uniprot
CPI-SC01115AAD1,Q03692,a1b1 complex,COAA1_HUMAN,,curated,uniprot
CPI-SC01195CB48,P24821,a8b1 complex,TENA_HUMAN,,curated,uniprot
CPI-SC011F01833,P08123,a10b1 complex,CO1A2_HUMAN,,curated,uniprot
CPI-SC0147A8A42,Q96A83,a10b1 complex,COQA1_HUMAN,,curated,uniprot
CPI-SC015980AEB,Q05707,a10b1 complex,COEA1_HUMAN,,curated,uniprot
CPI-SC016235D3A,P02458,a1b1 complex,CO2A1_HUMAN,,curated,uniprot
CPI-SC017215F7F,O95390,TGFR_AVR2B,GDF11_HUMAN,,curated,PMID: 22710174
CPI-SC01833C7FC,P14555,a4b1 complex,PA2GA_HUMAN,,curated,uniprot
CPI-SC019DBDA78,P19320,aDb2 complex,VCAM1_HUMAN,,curated,uniprot
CPI-SC01AB9BED7,P10451,a9b1 complex,OSTP_HUMAN,,curated,"PMID: 1830891, PMID: 8970045"
CPI-SC01C699B73,A6NMZ7,a10b1 complex,CO6A6_HUMAN,,curated,uniprot
CPI-SC01E9FAC20,Q07092,a2b1 complex,COGA1_HUMAN,,curated,uniprot
CPI-SC01EA4FF6B,P02452,a2b1 complex,CO1A1_HUMAN,,curated,uniprot
CPI-SC01F1F24AA,Q14050,a2b1 complex,CO9A3_HUMAN,,curated,uniprot
CPI-SC01FFC9392,P02751,a2b1 complex,FINC_HUMAN,,curated,uniprot
CPI-SC0200AC9E3,P07996,a2Bb3 complex,TSP1_HUMAN,,curated,uniprot
CPI-SC02017BE74,P08572,a11b1 complex,CO4A2_HUMAN,,curated,uniprot
CPI-SC02131C05A,Q99715,a10b1 complex,COCA1_HUMAN,,curated,uniprot
CPI-SC02392F4AF,P02462,a2b1 complex,CO4A1_HUMAN,,curated,uniprot
CPI-SC023986FB9,O14793,TGFR_AVR2A,GDF8_HUMAN,,curated,PMID: 22710174
CPI-SC0247375A7,Q9UMD9,a11b1 complex,COHA1_HUMAN,,curated,uniprot
CPI-SC0247E9ADB,Q14055,a11b1 complex,CO9A2_HUMAN,,curated,uniprot
CPI-SC0273E24EB,Q5T4W7,RET receptor 3,ARTN_HUMAN,,curated,uniprot
CPI-SC02AE206BE,P12111,a1b1 complex,CO6A3_HUMAN,,curated,uniprot
CPI-SC02B111AB0,P12109,a10b1 complex,CO6A1_HUMAN,,curated,uniprot
CPI-SC02BFEEC8A,P07996,a3b1 complex,TSP1_HUMAN,,curated,uniprot
CPI-SC02E74AFA5,P08253,aVb3 complex,MMP2_HUMAN,,curated,uniprot
CPI-SC02F06FF62,P27658,a1b1 complex,CO8A1_HUMAN,,curated,uniprot
CPI-SC032246C72,P61812,TGFbeta receptor2,TGFB2_HUMAN,,curated,uniprot
CPI-SC0329D5397,P32942,aLb2 complex,ICAM3_HUMAN,,curated,uniprot
CPI-SC033E22B14,P01127,PDGFR complex,PDGFB_HUMAN,,curated,uniprot
CPI-SC03446A95E,P06734,aXb2 complex,FCER2_HUMAN,,curated,https://www.ncbi.nlm.nih.gov/pubmed/7621072
CPI-SC035134F18,P20908,a2b1 complex,CO5A1_HUMAN,,curated,uniprot
CPI-SC035953E6B,Q02388,a1b1 complex,CO7A1_HUMAN,,curated,uniprot
CPI-SC036D78A43,P02458,a2b1 complex,CO2A1_HUMAN,,curated,uniprot
CPI-SC037C3901A,Q96P44,a11b1 complex,COLA1_HUMAN,,curated,uniprot
CPI-SC039D075C6,P39059,a2b1 complex,COFA1_HUMAN,,curated,uniprot
CPI-SC03ADD2063,P39060,a11b1 complex,COIA1_HUMAN,,curated,uniprot
CPI-SC03BFF1D95,P39059,a11b1 complex,COFA1_HUMAN,,curated,uniprot
CPI-SC03C093767,Q03692,a2b1 complex,COAA1_HUMAN,,curated,uniprot
CPI-SC03D71E025,Q02388,a11b1 complex,CO7A1_HUMAN,,curated,uniprot
CPI-SC03DD752AB,P53420,a2b1 complex,CO4A4_HUMAN,,curated,uniprot
CPI-SC03DD946B2,P61812,TGFbeta receptor1,TGFB2_HUMAN,,curated,uniprot
CPI-SC04085F9F9,P12109,a11b1 complex,CO6A1_HUMAN,,curated,uniprot
CPI-SC040B3EFBC,Q8NFW1,a1b1 complex,COMA1_HUMAN,,curated,uniprot
CPI-SC040C26CBD,Q96P44,a2b1 complex,COLA1_HUMAN,,curated,uniprot
CPI-SC041215790,Q96A83,a11b1 complex,COQA1_HUMAN,,curated,uniprot
CPI-SC041DEF0FB,P20908,a10b1 complex,CO5A1_HUMAN,,curated,uniprot
CPI-SC044E3F9B6,P09038,aVb3 complex,FGF2_HUMAN,,curated,uniprot
CPI-SC0458F68A5,P08572,a1b1 complex,CO4A2_HUMAN,,curated,uniprot
CPI-SC047CEF2DD,Q9HC73,TSLPR,CRLF2_HUMAN,,curated,DOI  10.1038/ncomms14937
CPI-SC04936738A,P12107,a10b1 complex,COBA1_HUMAN,,curated,uniprot
CPI-SC04AED00CE,P24821,aVb6 complex,TENA_HUMAN,,curated,uniprot
CPI-SC04B0064C4,P39060,a2b1 complex,COIA1_HUMAN,,curated,uniprot
CPI-SC04B354AE3,P25067,a2b1 complex,CO8A2_HUMAN,,curated,uniprot
CPI-SC04F2478E9,P02751,a3b1 complex,FINC_HUMAN,,curated,uniprot
CPI-SC04FDBA606,P00747,a2Bb3 complex,PLMN_HUMAN,,curated,uniprot
CPI-SC0517A327B,Q14050,a10b1 complex,CO9A3_HUMAN,,curated,uniprot
CPI-SC051B1E9C4,Q9P218,a11b1 complex,COKA1_HUMAN,,curated,uniprot
CPI-SC0527EEE7A,P01024,aMb2 complex,CO3_HUMAN,,curated,uniprot
CPI-SC052A417CB,Q01955,a2b1 complex,CO4A3_HUMAN,,curated,uniprot
CPI-SC0530C27A8,P04004,aVb3 complex,VTNC_HUMAN,,curated,uniprot
CPI-SC053BBE2B1,Q07092,a1b1 complex,COGA1_HUMAN,,curated,uniprot
